DEAL_NO,PURPOSE,AMOUNT
516441,Business Expansion,122339.31
516442,Equipment Purchase,125619.09
516443,Business Expansion,102654.38
516444,Equipment Purchase,83243.13
516444,Working Capital,83243.13
516445,Working Capital,45962.43
516445,Debt Consolidation,45962.42
516446,Working Capital,65759.14
516447,Business Expansion,113916.89
516448,Working Capital,141522.64
516449,Equipment Purchase,36328.93
516449,Working Capital,36328.93
516449,Business Expansion,36328.93
516450,Business Expansion,85228.96
516451,Debt Consolidation,48262.06
516452,Working Capital,33951.36
516452,Working Capital,33951.36
516453,Construction,109164.51
516454,Debt Consolidation,55852.36
516455,Construction,118224.76
516456,Business Expansion,24129.65
516456,Working Capital,24129.65
516456,Construction,24129.65
516457,Debt Consolidation,201502.43
516458,Debt Consolidation,144049.32
516459,Working Capital,46833.11
516459,Working Capital,46833.12
516460,Working Capital,18515.49
516460,Working Capital,18515.49
516461,Business Expansion,142763.57
516462,Debt Consolidation,52487.49
516463,Business Expansion,54530.84
516464,Working Capital,195888.84
516465,Business Expansion,120447.66
516466,Business Expansion,156885.48
516467,Construction,108892.66
516468,Construction,119213.74
516469,Business Expansion,156438.05
516470,Business Expansion,31047.75
516471,Business Expansion,37169.23
516471,Equipment Purchase,37169.23
516472,Working Capital,42300.55
516472,Construction,42300.54
516472,Business Expansion,42300.55
516473,Working Capital,60788.82
516474,Business Expansion,132538.53
516475,Business Expansion,114257.46
516476,Business Expansion,162707.0
516477,Construction,104991.41
516478,Debt Consolidation,47392.96
516478,Working Capital,47392.97
516479,Equipment Purchase,187516.16
516480,Business Expansion,86480.43
516481,Equipment Purchase,54963.11
516482,Debt Consolidation,67725.93
516483,Business Expansion,59569.55
516483,Construction,59569.56
516483,Working Capital,59569.55
516484,Debt Consolidation,52749.06
516485,Debt Consolidation,117182.73
516486,Working Capital,133602.22
516487,Construction,75042.42
516488,Working Capital,65206.44
516488,Working Capital,65206.45
516489,Business Expansion,81172.67
516490,Working Capital,50471.34
516491,Debt Consolidation,4435.27
516492,Working Capital,47159.14
516492,Business Expansion,47159.13
516493,Working Capital,9823.1
516494,Business Expansion,194633.93
516495,Construction,10223.6
516496,Business Expansion,44064.75
516496,Equipment Purchase,44064.75
516496,Working Capital,44064.75
516497,Debt Consolidation,12066.39
516498,Working Capital,69483.72
516499,Business Expansion,16190.36
516499,Working Capital,16190.37
516500,Equipment Purchase,141174.0
516501,Working Capital,9767.02
516502,Debt Consolidation,55239.75
516502,Working Capital,55239.76
516503,Construction,13867.88
516504,Business Expansion,51286.12
516505,Construction,14638.81
516506,Working Capital,71152.77
516506,Working Capital,71152.78
516507,Business Expansion,10839.52
516508,Construction,36235.39
516508,Business Expansion,36235.4
516509,Business Expansion,39096.93
516510,Equipment Purchase,85714.61
516511,Working Capital,6262.52
516511,Business Expansion,6262.53
516512,Debt Consolidation,42370.29
516513,Working Capital,25099.72
516514,Business Expansion,143843.86
516515,Equipment Purchase,22904.05
516516,Equipment Purchase,84068.99
516517,Equipment Purchase,22969.48
516518,Equipment Purchase,140840.4
516519,Business Expansion,26734.24
516520,Business Expansion,51611.98
516521,Working Capital,27631.43
516522,Business Expansion,145053.71
516523,Working Capital,27832.83
516524,Construction,157955.08
516525,Business Expansion,17978.16
516526,Business Expansion,127879.78
516527,Working Capital,20751.67
516528,Business Expansion,87839.16
516529,Equipment Purchase,16433.41
516530,Business Expansion,84544.97
516531,Equipment Purchase,29008.85
516532,Business Expansion,107896.19
516533,Working Capital,6076.77
516534,Debt Consolidation,38510.39
516535,Working Capital,5967.35
516536,Working Capital,35243.64
516537,Debt Consolidation,10770.09
516538,Working Capital,41839.6
516538,Business Expansion,41839.6
516538,Equipment Purchase,41839.61
516539,Construction,23680.49
516540,Business Expansion,163064.57
516541,Equipment Purchase,13655.32
516541,Working Capital,13655.31
516542,Working Capital,37020.92
516542,Business Expansion,37020.91
516543,Business Expansion,23778.59
516544,Business Expansion,110292.94
516545,Business Expansion,30391.24
516546,Working Capital,112375.85
516547,Business Expansion,26384.43
516548,Business Expansion,181572.78
516549,Working Capital,16504.54
516550,Debt Consolidation,96141.41
516551,Equipment Purchase,23306.75
516552,Business Expansion,166863.41
516553,Equipment Purchase,21781.61
516554,Working Capital,80133.93
516555,Business Expansion,23085.98
516556,Equipment Purchase,119732.8
516557,Debt Consolidation,31484.4
516558,Working Capital,76690.82
516559,Debt Consolidation,22157.54
516560,Business Expansion,131909.4
516561,Working Capital,19710.69
516562,Business Expansion,57358.19
516563,Business Expansion,12888.5
516564,Working Capital,143931.6
516565,Business Expansion,12831.45
516565,Working Capital,12831.44
516565,Construction,12831.45
516566,Debt Consolidation,69782.94
516567,Business Expansion,5736.7
516567,Working Capital,5736.71
516568,Working Capital,200100.11
516569,Working Capital,34592.81
516570,Working Capital,112639.19
516571,Construction,7255.92
516572,Construction,48970.13
516573,Working Capital,4072.02
516573,Equipment Purchase,4072.02
516574,Equipment Purchase,71084.4
516575,Working Capital,31169.55
516576,Business Expansion,71826.27
516577,Construction,2799.99
516577,Working Capital,2799.99
516577,Business Expansion,2799.99
516578,Construction,172465.17
516579,Business Expansion,36849.87
516580,Working Capital,92269.32
516581,Equipment Purchase,30191.8
516582,Working Capital,112179.31
516583,Working Capital,8020.68
516583,Equipment Purchase,8020.67
516584,Working Capital,57938.46
516584,Working Capital,57938.46
516585,Working Capital,37129.32
516586,Business Expansion,84172.52
516586,Working Capital,84172.52
516587,Working Capital,14182.43
516588,Construction,166025.68
516589,Working Capital,22019.66
516590,Working Capital,78251.82
516591,Equipment Purchase,15822.12
516592,Working Capital,117280.31
516593,Debt Consolidation,14312.58
516593,Working Capital,14312.58
516594,Business Expansion,90453.15
516594,Working Capital,90453.15
516595,Business Expansion,31726.66
516596,Equipment Purchase,85645.57
516596,Working Capital,85645.56
516597,Business Expansion,15476.81
516598,Construction,63506.16
516599,Business Expansion,31968.56
516600,Working Capital,64808.34
516600,Business Expansion,64808.34
516601,Business Expansion,15227.62
516601,Working Capital,15227.63
516602,Debt Consolidation,93329.38
516603,Debt Consolidation,16163.17
516603,Working Capital,16163.18
516604,Debt Consolidation,132298.42
516605,Working Capital,2253.12
516605,Working Capital,2253.13
516606,Working Capital,54633.94
516606,Debt Consolidation,54633.95
516607,Business Expansion,34822.33
516608,Working Capital,114431.41
516609,Equipment Purchase,6723.11
516609,Working Capital,6723.12
516610,Business Expansion,140410.79
516611,Debt Consolidation,3543.76
516612,Working Capital,71327.25
516613,Working Capital,29055.01
516614,Construction,61287.84
516614,Business Expansion,61287.84
516614,Working Capital,61287.84
516615,Business Expansion,27777.26
516616,Business Expansion,83508.82
516616,Equipment Purchase,83508.81
516617,Debt Consolidation,16289.17
516618,Working Capital,59709.21
516618,Working Capital,59709.21
516619,Working Capital,11956.27
516619,Business Expansion,11956.27
516619,Construction,11956.27
516620,Business Expansion,114602.63
516621,Business Expansion,15831.49
516622,Business Expansion,70560.82
516623,Construction,5512.43
516624,Construction,133622.16
516625,Construction,13808.36
516626,Working Capital,82806.52
516626,Business Expansion,82806.53
516627,Working Capital,10071.55
516627,Business Expansion,10071.54
516628,Debt Consolidation,135681.26
516629,Business Expansion,16434.18
516630,Working Capital,36862.37
516630,Equipment Purchase,36862.37
516630,Business Expansion,36862.36
516631,Equipment Purchase,10133.31
516631,Working Capital,10133.31
516632,Working Capital,86491.1
516633,Equipment Purchase,5144.84
516633,Working Capital,5144.85
516633,Working Capital,5144.84
516634,Working Capital,38915.79
516634,Working Capital,38915.78
516635,Construction,36080.07
516636,Equipment Purchase,186196.42
516637,Business Expansion,22040.19
516638,Business Expansion,158359.64
516639,Working Capital,23585.32
516640,Business Expansion,82403.58
516641,Working Capital,4458.48
516641,Business Expansion,4458.49
516642,Equipment Purchase,98037.71
516643,Business Expansion,8251.92
516644,Construction,133783.57
516645,Construction,5323.27
516646,Business Expansion,43822.68
516646,Working Capital,43822.69
516647,Construction,41758.92
516648,Business Expansion,110977.87
516649,Working Capital,6659.87
516650,Business Expansion,71241.43
516651,Equipment Purchase,29005.69
516652,Debt Consolidation,171918.57
516653,Business Expansion,34152.29
516654,Working Capital,15930.03
516654,Working Capital,15930.04
516655,Construction,22361.79
516656,Working Capital,66359.51
516656,Debt Consolidation,66359.5
516657,Working Capital,9387.96
516657,Construction,9387.96
516657,Business Expansion,9387.96
516658,Working Capital,65693.72
516658,Working Capital,65693.72
516659,Construction,12822.46
516659,Business Expansion,12822.47
516659,Working Capital,12822.46
516660,Debt Consolidation,82676.66
516661,Working Capital,32965.82
516662,Working Capital,75346.15
516663,Working Capital,14280.73
516663,Working Capital,14280.73
516664,Working Capital,87147.85
516664,Working Capital,87147.85
516665,Working Capital,39237.48
516666,Construction,148772.52
516667,Debt Consolidation,23629.29
516668,Equipment Purchase,61234.05
516669,Business Expansion,39862.76
516670,Equipment Purchase,121754.45
516671,Debt Consolidation,14215.85
516672,Business Expansion,80034.24
516673,Equipment Purchase,29350.46
516674,Business Expansion,58862.07
516674,Working Capital,58862.07
516674,Equipment Purchase,58862.06
516675,Business Expansion,27027.9
516676,Business Expansion,42248.84
516676,Working Capital,42248.84
516677,Business Expansion,28491.4
516678,Debt Consolidation,92450.58
516679,Business Expansion,7283.65
516680,Working Capital,18309.06
516680,Business Expansion,18309.07
516680,Equipment Purchase,18309.06
516681,Business Expansion,6814.5
516682,Business Expansion,164269.7
516683,Debt Consolidation,14660.5
516684,Business Expansion,145369.85
516685,Construction,23954.56
516686,Equipment Purchase,73207.34
516686,Working Capital,73207.34
516687,Construction,10235.21
516688,Business Expansion,62183.04
516688,Working Capital,62183.04
516688,Equipment Purchase,62183.04
516689,Construction,29316.44
516690,Working Capital,115297.31
516691,Equipment Purchase,32998.12
516692,Equipment Purchase,96524.94
516692,Working Capital,96524.94
516693,Working Capital,13688.17
516693,Business Expansion,13688.17
516694,Business Expansion,132441.35
516695,Working Capital,6262.72
516695,Business Expansion,6262.71
516696,Debt Consolidation,146286.05
516697,Business Expansion,25818.3
516698,Business Expansion,89294.4
516699,Business Expansion,10815.62
516700,Working Capital,34773.88
516701,Working Capital,4781.16
516701,Business Expansion,4781.17
516702,Business Expansion,177584.26
516703,Business Expansion,26187.41
516704,Equipment Purchase,196848.04
516705,Equipment Purchase,16461.82
516705,Business Expansion,16461.82
516706,Debt Consolidation,149458.77
516707,Working Capital,23363.36
516708,Construction,150812.09
516709,Equipment Purchase,3032.98
516709,Working Capital,3032.98
516709,Business Expansion,3032.98
516710,Business Expansion,57262.22
516711,Working Capital,6132.15
516712,Business Expansion,49697.63
516713,Working Capital,9765.84
516713,Business Expansion,9765.84
516714,Working Capital,50692.68
516714,Business Expansion,50692.68
516715,Working Capital,3679.27
516715,Debt Consolidation,3679.27
516716,Construction,65842.48
516717,Business Expansion,16125.25
516718,Working Capital,49515.75
516719,Working Capital,7150.29
516720,Working Capital,66633.57
516721,Business Expansion,40496.15
516722,Working Capital,69290.6
516723,Business Expansion,10003.64
516724,Construction,172178.8
516725,Debt Consolidation,5417.84
516726,Working Capital,130487.16
516727,Working Capital,5139.06
516727,Construction,5139.07
516728,Working Capital,60905.21
516728,Debt Consolidation,60905.21
516729,Working Capital,14725.45
516730,Business Expansion,66273.52
516731,Business Expansion,15419.77
516732,Working Capital,106470.33
516733,Business Expansion,12928.01
516734,Working Capital,92979.05
516735,Working Capital,28942.53
516736,Business Expansion,141727.88
516737,Equipment Purchase,28327.47
516738,Construction,61411.58
516739,Business Expansion,8908.35
516739,Equipment Purchase,8908.35
516739,Working Capital,8908.36
516740,Business Expansion,158728.32
516741,Business Expansion,16541.93
516742,Working Capital,89637.45
516742,Working Capital,89637.45
516743,Working Capital,19080.21
516744,Business Expansion,54332.17
516745,Business Expansion,36066.85
516746,Debt Consolidation,141624.67
516747,Business Expansion,11485.71
516748,Working Capital,98338.77
516749,Debt Consolidation,13511.84
516750,Working Capital,88402.11
516751,Business Expansion,34379.38
516752,Working Capital,48561.67
516752,Business Expansion,48561.67
516753,Equipment Purchase,15131.83
516753,Working Capital,15131.82
516754,Equipment Purchase,147387.8
516755,Business Expansion,38297.16
516756,Debt Consolidation,132563.43
516757,Equipment Purchase,31306.69
516758,Construction,141219.15
516759,Equipment Purchase,37544.56
516760,Business Expansion,187325.96
516761,Working Capital,25338.47
516762,Business Expansion,105882.34
516763,Debt Consolidation,11715.08
516764,Construction,53583.6
516765,Business Expansion,14187.85
516766,Business Expansion,86690.26
516767,Business Expansion,7037.6
516768,Equipment Purchase,170074.43
516769,Business Expansion,3605.7
516769,Working Capital,3605.69
516770,Construction,118324.3
516771,Working Capital,13332.03
516772,Business Expansion,47936.11
516772,Equipment Purchase,47936.12
516773,Business Expansion,29303.12
516774,Working Capital,95325.53
516775,Working Capital,24586.72
516776,Business Expansion,89731.09
516777,Business Expansion,7839.54
516777,Working Capital,7839.54
516777,Equipment Purchase,7839.54
516778,Construction,150018.52
516779,Working Capital,9083.41
516780,Working Capital,122094.35
516781,Debt Consolidation,9965.11
516782,Debt Consolidation,45206.35
516782,Working Capital,45206.35
516783,Business Expansion,5588.4
516784,Working Capital,112655.42
516785,Equipment Purchase,19511.46
516785,Business Expansion,19511.45
516786,Business Expansion,62356.33
516786,Working Capital,62356.33
516786,Equipment Purchase,62356.32
516787,Business Expansion,5565.22
516788,Business Expansion,166986.38
516789,Working Capital,11922.67
516790,Construction,54463.4
516791,Business Expansion,31009.89
516792,Debt Consolidation,71789.65
516793,Business Expansion,19821.46
516794,Working Capital,63537.3
516795,Business Expansion,13231.68
516796,Debt Consolidation,54133.44
516797,Working Capital,14176.07
516798,Working Capital,85522.05
516799,Construction,13112.42
516799,Business Expansion,13112.42
516799,Working Capital,13112.41
516800,Business Expansion,146474.0
516801,Business Expansion,10183.11
516802,Working Capital,58686.94
516802,Working Capital,58686.95
516803,Business Expansion,8881.29
516804,Equipment Purchase,97343.3
516805,Debt Consolidation,4729.54
516806,Business Expansion,202031.97
516807,Business Expansion,7069.36
516807,Working Capital,7069.35
516807,Equipment Purchase,7069.36
516808,Business Expansion,199613.11
516809,Construction,3772.83
516809,Business Expansion,3772.84
516809,Working Capital,3772.83
516810,Business Expansion,173793.58
516811,Construction,6848.79
516812,Business Expansion,83138.57
516813,Equipment Purchase,11045.58
516813,Business Expansion,11045.58
516813,Working Capital,11045.59
516814,Business Expansion,78128.1
516814,Working Capital,78128.09
516815,Debt Consolidation,21944.74
516816,Working Capital,42881.08
516817,Equipment Purchase,24486.93
516818,Working Capital,61622.66
516819,Equipment Purchase,32160.09
516820,Equipment Purchase,173777.41
516821,Business Expansion,14062.54
516822,Business Expansion,74037.46
516823,Equipment Purchase,11758.94
516824,Working Capital,82685.36
516825,Business Expansion,39276.17
516826,Business Expansion,176444.93
516827,Business Expansion,5182.51
516828,Business Expansion,187608.08
516829,Working Capital,20752.88
516830,Equipment Purchase,78791.58
516831,Business Expansion,5918.83
516832,Debt Consolidation,180444.96
516833,Equipment Purchase,10846.16
516834,Construction,28682.22
516834,Business Expansion,28682.22
516835,Working Capital,29923.98
516836,Debt Consolidation,159588.63
516837,Debt Consolidation,9595.65
516837,Working Capital,9595.64
516838,Business Expansion,76544.82
516838,Working Capital,76544.82
516839,Business Expansion,22206.71
516840,Business Expansion,57427.39
516840,Working Capital,57427.38
516841,Business Expansion,18468.08
516842,Working Capital,72607.91
516843,Business Expansion,5346.38
516844,Working Capital,61842.66
516845,Working Capital,32960.78
516846,Debt Consolidation,133421.93
516847,Business Expansion,8353.93
516847,Working Capital,8353.93
516848,Working Capital,51492.72
516849,Working Capital,36902.42
516850,Debt Consolidation,119581.33
516851,Debt Consolidation,20851.14
516852,Debt Consolidation,44666.13
516853,Business Expansion,18087.01
516854,Construction,151984.44
516855,Equipment Purchase,26260.85
516856,Debt Consolidation,112862.49
516857,Construction,31603.54
516858,Debt Consolidation,83225.68
516858,Working Capital,83225.69
516859,Business Expansion,22222.9
516860,Business Expansion,122953.29
516861,Equipment Purchase,6901.25
516862,Debt Consolidation,55624.21
516862,Working Capital,55624.22
516863,Working Capital,7089.52
516863,Working Capital,7089.53
516864,Working Capital,77472.65
516865,Working Capital,9910.75
516866,Working Capital,76115.02
516867,Working Capital,21850.11
516868,Debt Consolidation,106840.05
516869,Working Capital,22535.54
516870,Working Capital,139557.08
516871,Equipment Purchase,18067.91
516872,Construction,146467.38
516873,Working Capital,25715.3
516874,Working Capital,101597.85
516875,Debt Consolidation,10807.96
516875,Working Capital,10807.96
516876,Debt Consolidation,117477.41
516877,Construction,10990.92
516877,Business Expansion,10990.93
516878,Working Capital,46985.6
516878,Business Expansion,46985.6
516878,Construction,46985.61
516879,Working Capital,4389.95
516880,Business Expansion,190784.09
516881,Equipment Purchase,18206.31
516882,Business Expansion,107985.88
516883,Equipment Purchase,7347.39
516883,Working Capital,7347.4
516883,Working Capital,7347.39
516884,Working Capital,67274.73
516885,Working Capital,5804.84
516885,Equipment Purchase,5804.84
516886,Working Capital,98801.13
516887,Debt Consolidation,20063.16
516888,Equipment Purchase,81482.88
516888,Working Capital,81482.87
516889,Business Expansion,14031.22
516890,Business Expansion,52670.97
516891,Equipment Purchase,11605.18
516892,Construction,53331.38
516893,Business Expansion,5889.39
516894,Equipment Purchase,197941.51
516895,Business Expansion,34173.0
516896,Business Expansion,165052.85
516897,Business Expansion,7444.44
516897,Working Capital,7444.44
516897,Equipment Purchase,7444.43
516898,Equipment Purchase,79860.66
516899,Equipment Purchase,9198.27
516900,Debt Consolidation,76319.77
516901,Equipment Purchase,18129.29
516902,Debt Consolidation,100339.08
516903,Working Capital,2256.08
516903,Business Expansion,2256.08
516903,Construction,2256.08
516904,Working Capital,80982.68
516905,Working Capital,25384.35
516906,Construction,147543.35
516907,Working Capital,39160.88
516908,Working Capital,32483.83
516908,Business Expansion,32483.84
516909,Construction,29582.98
516910,Debt Consolidation,81873.53
516910,Working Capital,81873.53
516911,Working Capital,7445.82
516911,Working Capital,7445.82
516912,Business Expansion,179213.03
516913,Working Capital,2768.71
516914,Business Expansion,7213.19
516915,Debt Consolidation,77774.12
516916,Working Capital,2128.37
516917,Business Expansion,15103.07
516918,Business Expansion,24838.81
516918,Equipment Purchase,24838.81
516918,Working Capital,24838.81
516919,Debt Consolidation,1360.55
516920,Debt Consolidation,22492.24
516921,Working Capital,106790.98
516922,Debt Consolidation,3076.54
516923,Working Capital,32299.54
516924,Business Expansion,140753.19
516925,Business Expansion,3929.21
516926,Debt Consolidation,17854.7
516927,Business Expansion,44179.18
516927,Equipment Purchase,44179.18
516927,Working Capital,44179.17
516928,Working Capital,3588.67
516929,Working Capital,13813.88
516930,Business Expansion,112900.39
516931,Working Capital,1342.32
516931,Working Capital,1342.31
516932,Business Expansion,30733.32
516933,Business Expansion,93866.29
516934,Business Expansion,1156.64
516934,Working Capital,1156.64
516935,Business Expansion,15470.47
516936,Working Capital,67172.73
516936,Working Capital,67172.72
516937,Working Capital,3557.64
516938,Equipment Purchase,7980.87
516939,Working Capital,78813.41
516940,Business Expansion,4240.1
516941,Working Capital,15134.52
516942,Debt Consolidation,29915.38
516942,Working Capital,29915.37
516943,Working Capital,1771.89
516943,Business Expansion,1771.9
516944,Working Capital,19517.85
516945,Working Capital,68623.38
516945,Debt Consolidation,68623.38
516946,Equipment Purchase,3816.24
516947,Business Expansion,39539.63
516948,Working Capital,173255.71
516949,Business Expansion,1676.01
516950,Equipment Purchase,12643.65
516950,Business Expansion,12643.65
516950,Working Capital,12643.64
516951,Business Expansion,157311.56
516952,Working Capital,791.56
516952,Working Capital,791.56
516953,Working Capital,23131.56
516954,Business Expansion,154799.76
516955,Business Expansion,2393.35
516956,Construction,27179.57
516957,Debt Consolidation,138813.0
516958,Debt Consolidation,1257.86
516958,Working Capital,1257.86
516959,Equipment Purchase,34670.51
516960,Working Capital,41668.27
516961,Construction,3159.23
516962,Working Capital,11142.01
516962,Business Expansion,11142.01
516963,Business Expansion,168346.55
516964,Working Capital,2292.29
516965,Debt Consolidation,4634.64
516966,Business Expansion,148542.57
516967,Business Expansion,1562.19
516967,Working Capital,1562.19
516968,Business Expansion,17604.39
516969,Debt Consolidation,193069.51
516970,Equipment Purchase,2947.41
516971,Working Capital,36647.95
516972,Equipment Purchase,183965.64
516973,Working Capital,1595.8
516973,Debt Consolidation,1595.79
516974,Working Capital,23277.16
516975,Business Expansion,190438.65
516976,Working Capital,2466.75
516977,Debt Consolidation,23070.48
516978,Business Expansion,33972.27
516978,Working Capital,33972.27
516979,Business Expansion,4422.2
516980,Working Capital,14413.14
516981,Construction,112086.02
516982,Business Expansion,3677.49
516983,Business Expansion,32623.11
516984,Business Expansion,129891.19
516985,Construction,4548.12
516986,Business Expansion,15577.54
516987,Working Capital,86364.16
516988,Equipment Purchase,3863.52
516989,Working Capital,9265.41
516990,Working Capital,102238.24
516991,Business Expansion,3234.14
516992,Equipment Purchase,38358.03
516993,Working Capital,177180.88
516994,Business Expansion,2648.12
516995,Working Capital,11597.37
516996,Business Expansion,105676.75
516997,Equipment Purchase,4238.75
516998,Working Capital,8746.22
516998,Construction,8746.22
516999,Business Expansion,38622.59
516999,Working Capital,38622.59
517000,Working Capital,1749.29
517000,Business Expansion,1749.29
517001,Working Capital,5864.46
517002,Debt Consolidation,121875.8
517003,Business Expansion,2307.11
517004,Working Capital,10232.6
517005,Business Expansion,144076.28
517006,Working Capital,2648.68
517007,Construction,29164.55
517008,Debt Consolidation,177663.08
517009,Debt Consolidation,3732.47
517010,Working Capital,30105.99
517011,Debt Consolidation,23376.52
517011,Working Capital,23376.52
517012,Business Expansion,1801.12
517013,Debt Consolidation,6640.02
517013,Working Capital,6640.02
517014,Business Expansion,150486.31
517015,Business Expansion,4307.03
517016,Business Expansion,3148.75
517016,Construction,3148.75
517017,Working Capital,94866.96
517017,Business Expansion,94866.96
517018,Equipment Purchase,3207.97
517019,Business Expansion,32354.06
517020,Business Expansion,79288.61
517021,Working Capital,3687.59
517022,Equipment Purchase,9402.84
517023,Equipment Purchase,74764.24
517023,Business Expansion,74764.25
517024,Equipment Purchase,3167.35
517025,Business Expansion,8578.41
517026,Debt Consolidation,152139.83
517027,Business Expansion,2249.13
517028,Working Capital,26340.99
517029,Business Expansion,116859.19
517030,Business Expansion,1205.06
517030,Equipment Purchase,1205.06
517030,Working Capital,1205.06
517031,Working Capital,4985.55
517032,Business Expansion,50712.01
517033,Working Capital,1720.27
517034,Business Expansion,37864.81
517035,Business Expansion,187190.76
517036,Business Expansion,1355.91
517037,Business Expansion,7315.92
517038,Working Capital,114971.07
517039,Business Expansion,2708.35
517040,Working Capital,15212.21
517041,Business Expansion,37714.63
517041,Equipment Purchase,37714.63
517041,Working Capital,37714.64
517042,Equipment Purchase,2563.92
517043,Working Capital,12960.1
517044,Working Capital,100271.43
517045,Debt Consolidation,1713.62
517046,Debt Consolidation,12101.94
517047,Equipment Purchase,104121.58
517048,Working Capital,1483.89
517048,Working Capital,1483.89
517049,Equipment Purchase,32573.8
517050,Equipment Purchase,137090.31
517051,Debt Consolidation,1524.07
517052,Business Expansion,16663.36
517053,Business Expansion,126836.99
517054,Business Expansion,4032.75
517055,Equipment Purchase,26579.56
517056,Business Expansion,129689.85
517057,Business Expansion,2356.66
517058,Equipment Purchase,12921.49
517059,Construction,177250.99
517060,Business Expansion,3864.17
517061,Business Expansion,12819.92
517061,Working Capital,12819.93
517062,Business Expansion,70934.84
517063,Working Capital,1704.9
517064,Business Expansion,37087.17
517065,Debt Consolidation,66930.13
517066,Working Capital,2549.74
517067,Business Expansion,30077.76
517068,Business Expansion,123909.21
517069,Equipment Purchase,2734.5
517070,Business Expansion,23939.55
517071,Working Capital,62383.87
517072,Equipment Purchase,3577.61
517073,Business Expansion,31851.73
517074,Debt Consolidation,35090.48
517074,Working Capital,35090.48
517075,Equipment Purchase,2751.69
517076,Business Expansion,38053.98
517077,Equipment Purchase,160283.27
517078,Business Expansion,2158.23
517079,Construction,24200.37
517080,Debt Consolidation,48901.23
517081,Business Expansion,3739.28
517082,Construction,24548.51
517083,Working Capital,143105.64
517084,Working Capital,2097.24
517085,Debt Consolidation,13841.39
517085,Working Capital,13841.39
517086,Debt Consolidation,138182.06
517087,Working Capital,2809.48
517088,Business Expansion,9554.99
517088,Working Capital,9554.99
517089,Construction,51303.53
517090,Working Capital,2099.2
517091,Equipment Purchase,16956.57
517092,Business Expansion,153570.99
517093,Debt Consolidation,2690.0
517094,Construction,29601.82
517095,Business Expansion,157754.91
517096,Business Expansion,2618.65
517097,Construction,38738.14
517098,Equipment Purchase,47467.68
517098,Working Capital,47467.68
517098,Business Expansion,47467.68
517099,Working Capital,1417.4
517099,Debt Consolidation,1417.41
517100,Construction,6027.53
517100,Business Expansion,6027.53
517100,Working Capital,6027.53
517101,Business Expansion,101070.33
517102,Business Expansion,3862.18
517103,Working Capital,13802.88
517103,Business Expansion,13802.88
517104,Construction,156878.9
517105,Business Expansion,3549.58
517106,Debt Consolidation,31707.17
517107,Business Expansion,63659.33
517108,Equipment Purchase,2332.13
517109,Working Capital,4818.69
517109,Business Expansion,4818.7
517110,Debt Consolidation,61824.9
517110,Working Capital,61824.91
517111,Business Expansion,3562.67
517112,Business Expansion,30275.29
517113,Business Expansion,131355.18
517114,Equipment Purchase,3822.24
517115,Debt Consolidation,18924.04
517116,Working Capital,76990.84
517117,Construction,2759.28
517118,Construction,35761.8
517119,Business Expansion,96584.3
517119,Working Capital,96584.3
517120,Business Expansion,3748.0
517121,Working Capital,8402.55
517122,Debt Consolidation,54511.14
517123,Working Capital,1667.0
517124,Working Capital,13666.55
517124,Debt Consolidation,13666.54
517125,Working Capital,67390.23
517125,Debt Consolidation,67390.23
517126,Debt Consolidation,1239.37
517126,Working Capital,1239.37
517127,Business Expansion,16503.97
517128,Working Capital,189649.66
517129,Business Expansion,1919.68
517129,Working Capital,1919.69
517130,Working Capital,2957.74
517130,Working Capital,2957.75
517131,Working Capital,73668.09
517132,Construction,3664.59
517133,Working Capital,19202.04
517134,Equipment Purchase,161444.97
517135,Working Capital,4411.76
517136,Business Expansion,35557.95
517137,Working Capital,101466.55
517138,Equipment Purchase,4281.07
517139,Working Capital,8072.49
517139,Business Expansion,8072.5
517140,Construction,87345.64
517141,Business Expansion,3826.74
517142,Business Expansion,26880.28
517143,Business Expansion,147658.76
517144,Business Expansion,3722.9
517145,Business Expansion,25020.44
517146,Business Expansion,48259.21
517147,Working Capital,2462.19
517148,Business Expansion,18184.15
517148,Working Capital,18184.15
517149,Equipment Purchase,152385.0
517150,Working Capital,3370.42
517151,Working Capital,10320.86
517152,Working Capital,131519.87
517153,Business Expansion,2151.21
517154,Debt Consolidation,7492.64
517155,Equipment Purchase,76212.07
517156,Construction,1734.2
517156,Business Expansion,1734.2
517157,Debt Consolidation,15600.02
517158,Equipment Purchase,151550.86
517159,Working Capital,3335.49
517160,Construction,29306.46
517161,Working Capital,63388.88
517161,Working Capital,63388.88
517162,Debt Consolidation,3356.33
517163,Working Capital,5708.68
517163,Equipment Purchase,5708.67
517164,Business Expansion,140147.65
517165,Business Expansion,1346.75
517165,Construction,1346.76
517165,Working Capital,1346.75
517166,Debt Consolidation,6581.21
517167,Debt Consolidation,61576.72
517167,Working Capital,61576.72
517168,Business Expansion,4358.94
517169,Working Capital,17457.49
517170,Working Capital,114884.99
517171,Equipment Purchase,2694.11
517172,Business Expansion,30424.81
517173,Equipment Purchase,52296.67
517173,Business Expansion,52296.66
517174,Working Capital,748.16
517174,Business Expansion,748.16
517175,Debt Consolidation,18775.38
517176,Working Capital,95184.35
517176,Working Capital,95184.35
517177,Business Expansion,3193.92
517178,Business Expansion,7142.26
517178,Working Capital,7142.26
517179,Debt Consolidation,49680.49
517180,Business Expansion,2777.93
517181,Working Capital,23468.81
517182,Working Capital,54280.09
